tld,status,type,owner
aaa,NA,brand,"American Automobile Association, Inc."
aarp,NA,brand,AARP
abb,NA,brand,ABB Ltd
abbott,NA,brand,"Abbott Laboratories, Inc."
abbvie,GA,brand,AbbVie Inc.
abc,NA,brand,"Disney Enterprises, Inc."
able,NA,brand,Able Inc.
abogado,GA,restricted,"Registry Services, LLC"
abudhabi,GA,restricted,Abu Dhabi Systems and Information Centre
academy,GA,unrestricted,Donuts
accenture,NA,brand,Accenture plc
accountant,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
accountants,GA,unrestricted,Donuts
aco,NA,brand,ACO Severin Ahlmann GmbH & Co. KG
actor,GA,unrestricted,Donuts
ads,NA,unrestricted,Google
adult,GA,unrestricted,ICM Registry LLC (Minds + Machines Group Limited)
aeg,NA,brand,Aktiebolaget Electrolux
aetna,NA,brand,Aetna Life Insurance Company
afl,NA,brand,Australian Football League
africa,GA,unrestricted,ZA Central Registry NPC trading as Registry.Africa
agakhan,NA,brand,Fondation Aga Khan
agency,GA,unrestricted,Donuts
aig,NA,brand,"American International Group, Inc."
airbus,NA,brand,Airbus S.A.S.
airforce,GA,semi-restricted,Donuts
airtel,NA,brand,Bharti Airtel Limited
akdn,NA,brand,Fondation Aga Khan
alibaba,NA,brand,Alibaba Group Holding Ltd. (Alibaba Group Holding Ltd.)
alipay,NA,brand,Alibaba Group Holding Ltd. (Alibaba Group Holding Ltd.)
allfinanz,NA,brand,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft (Deutsche Vermögensberatung AG)
allstate,NA,brand,Allstate Fire and Casualty Insurance Company
ally,NA,brand,Ally Financial Inc.
alsace,GA,semi-restricted,REGION GRAND EST
alstom,NA,brand,ALSTOM
amazon,NA,brand,Amazon
americanexpress,NA,brand,"American Express Travel Related Services Company, Inc."
americanfamily,NA,brand,"AmFam, Inc."
amex,NA,brand,"American Express Travel Related Services Company, Inc."
amfam,NA,brand,"AmFam, Inc."
amica,NA,brand,Amica Mutual Insurance Company
amsterdam,GA,unrestricted,Gemeente Amsterdam
analytics,NA,brand,Campus IP LLC
android,NA,brand,Google
anquan,NA,brand,QIHOO 360 Technology Co. Ltd.
anz,NA,brand,Australia and New Zealand Banking Group Ltd.
aol,NA,brand,OATH Inc.
apartments,GA,unrestricted,Donuts
app,GA,unrestricted,Google
apple,NA,brand,Apple Inc.
aquarelle,NA,brand,Aquarelle.com
arab,NA,restricted,League of Arab States
aramco,NA,brand,Aramco Services Company
archi,GA,semi-restricted,Donuts
army,GA,semi-restricted,Donuts
art,GA,unrestricted,UK Creative Ideas Limited
arte,NA,brand,Association Relative à la Télévision Européenne G.E.I.E.
asda,NA,brand,"Wal-Mart Stores, Inc."
associates,GA,unrestricted,Donuts
athleta,NA,brand,"The Gap, Inc."
attorney,GA,semi-restricted,Donuts
auction,GA,unrestricted,Donuts
audi,NA,brand,AUDI Aktiengesellschaft
audible,NA,brand,Amazon
audio,GA,unrestricted,XYZ.COM LLC
auspost,NA,brand,Australian Postal Corporation
author,NA,unrestricted,Amazon
auto,GA,unrestricted,XYZ.COM LLC
autos,GA,restricted,XYZ.COM LLC
avianca,NA,brand,Aerovias del Continente Americano S.A. Avianca
aws,NA,brand,Amazon
axa,NA,brand,AXA SA
azure,NA,brand,Microsoft Corporation
baby,GA,restricted,XYZ.COM LLC
baidu,NA,brand,"Baidu, Inc."
banamex,NA,brand,Citigroup Inc.
band,GA,unrestricted,Donuts
bank,GA,restricted,fTLD Registry Services LLC
bar,GA,unrestricted,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
barcelona,GA,semi-restricted,Municipi de Barcelona
barclaycard,NA,brand,Barclays Bank PLC
barclays,NA,brand,Barclays Bank PLC
barefoot,NA,brand,"Gallo Vineyards, Inc."
bargains,GA,unrestricted,Donuts
baseball,NA,brand,"MLB Advanced Media DH, LLC"
basketball,GA,unrestricted,Fédération Internationale de Basketball (FIBA)
bauhaus,NA,brand,Werkhaus GmbH
bayern,GA,semi-restricted,Bayern Connect GmbH (Minds + Machines Group Limited)
bbc,NA,brand,British Broadcasting Corporation
bbt,NA,brand,BB&T Corporation
bbva,NA,brand,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
bcg,NA,brand,"The Boston Consulting Group, Inc."
bcn,NA,brand,Municipi de Barcelona
beats,NA,brand,"Beats Electronics, LLC"
beauty,GA,brand,XYZ.COM LLC
beer,GA,unrestricted,"Registry Services, LLC"
bentley,GA,brand,Bentley Motors Limited
berlin,GA,semi-restricted,dotBERLIN GmbH & Co. KG
best,GA,unrestricted,BestTLD Pty Ltd
bestbuy,NA,brand,"BBY Solutions, Inc."
bet,GA,unrestricted,Donuts
bharti,NA,brand,Bharti Enterprises (Holding) Private Ltd.
bible,GA,unrestricted,American Bible Society
bid,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
bike,GA,unrestricted,Donuts
bing,NA,brand,Microsoft Corporation
bingo,GA,unrestricted,Donuts
bio,GA,semi-restricted,Donuts
black,GA,unrestricted,Donuts
blackfriday,GA,unrestricted,"Registry Services, LLC"
blockbuster,NA,brand,Dish DBS Corporation
blog,GA,unrestricted,"Knock Knock WHOIS There, LLC"
bloomberg,NA,brand,Bloomberg IP Holdings LLC
blue,GA,unrestricted,Donuts
bms,NA,brand,Bristol-Myers Squibb Company
bmw,NA,brand,Bayerische Motoren Werke Aktiengesellschaft
bnpparibas,NA,brand,BNP Paribas
boats,GA,restricted,XYZ.COM LLC
boehringer,NA,brand,Boehringer Ingelheim International GmbH
bofa,NA,brand,Bank of America Corporation
bom,NA,unrestricted,Núcleo de Informação e Coordenação do Ponto BR
bond,GA,unrestricted,Shortdot SA
boo,GA,unrestricted,Google
book,NA,unrestricted,Amazon
booking,NA,brand,Booking.com B.V.
bosch,NA,brand,Robert Bosch GMBH
bostik,NA,brand,Bostik SA
boston,GA,unrestricted,"Registry Services, LLC"
bot,GA,unrestricted,Amazon
boutique,GA,unrestricted,Donuts
box,NA,unrestricted,Intercap Registry Inc.
bradesco,NA,brand,Banco Bradesco S.A.
bridgestone,NA,brand,Bridgestone Corporation
broadway,GA,restricted,"Celebrate Broadway, Inc."
broker,GA,semi-restricted,Donuts
brother,NA,brand,"Brother Industries, Ltd."
brussels,GA,unrestricted,DNS.be vzw
build,GA,unrestricted,Plan Bee LLC
builders,GA,unrestricted,Donuts
business,GA,unrestricted,Donuts
buy,NA,unrestricted,Amazon
buzz,GA,unrestricted,DOTSTRATEGY CO.
bzh,GA,semi-restricted,Association www.bzh
cab,GA,unrestricted,Donuts
cafe,GA,unrestricted,Donuts
cal,NA,brand,Google
call,NA,unrestricted,Amazon
calvinklein,NA,brand,PVH gTLD Holdings LLC
cam,GA,unrestricted,CAM Connecting SARL
camera,GA,unrestricted,Donuts
camp,GA,unrestricted,Donuts
canon,NA,brand,Canon Inc.
capetown,GA,unrestricted,ZA Central Registry NPC trading as ZA Central Registry
capital,GA,unrestricted,Donuts
capitalone,NA,brand,Capital One Financial Corporation
car,GA,unrestricted,XYZ.COM LLC
caravan,NA,brand,"Caravan International, Inc."
cards,GA,unrestricted,Donuts
care,GA,unrestricted,Donuts
career,GA,unrestricted,dotCareer LLC
careers,GA,unrestricted,Donuts
cars,GA,unrestricted,XYZ.COM LLC
casa,GA,unrestricted,"Registry Services, LLC"
case,GA,brand,CNH Industrial N.V.
cash,GA,unrestricted,Donuts
casino,GA,unrestricted,Donuts
catering,GA,unrestricted,Donuts
catholic,NA,brand,Pontificium Consilium de Comunicationibus Socialibus
cba,NA,brand,COMMONWEALTH BANK OF AUSTRALIA
cbn,NA,brand,"The Christian Broadcasting Network, Inc."
cbre,NA,brand,"CBRE, Inc."
cbs,NA,brand,CBS Domains Inc.
center,GA,unrestricted,Donuts
ceo,GA,unrestricted,CEOTLD Pty Ltd (PeopleBrowsr Inc.)
cern,NA,brand,"European Organization for Nuclear Research (""CERN"")"
cfa,NA,brand,CFA Institute
cfd,GA,restricted,Shortdot SA
chanel,NA,brand,Chanel International B.V.
channel,GA,brand,Google
charity,GA,unrestricted,Public Interest Registry (PIR)
chase,NA,brand,JPMorgan Chase & Co.
chat,GA,unrestricted,Donuts
cheap,GA,unrestricted,Donuts
chintai,NA,brand,CHINTAI Corporation
christmas,GA,unrestricted,XYZ.COM LLC
chrome,NA,brand,Google
church,GA,unrestricted,Donuts
cipriani,NA,brand,Hotel Cipriani Srl
circle,NA,brand,Amazon
cisco,NA,brand,"Cisco Technology, Inc."
citadel,NA,brand,Citadel Domain LLC
citi,NA,brand,Citigroup Inc.
citic,NA,brand,CITIC Group Corporation
city,GA,unrestricted,Donuts
claims,GA,unrestricted,Donuts
cleaning,GA,unrestricted,Donuts
click,GA,unrestricted,Internet Naming Co.
clinic,GA,unrestricted,Donuts
clinique,NA,brand,The Estée Lauder Companies Inc.
clothing,GA,unrestricted,Donuts
cloud,GA,unrestricted,ARUBA PEC S.p.A.
club,GA,unrestricted,"Registry Services, LLC"
clubmed,NA,brand,Club Méditerranée S.A.
coach,GA,unrestricted,Donuts
codes,GA,unrestricted,Donuts
coffee,GA,unrestricted,Donuts
college,GA,unrestricted,XYZ.COM LLC
cologne,GA,unrestricted,dotKoeln GmbH
comcast,NA,brand,"Comcast IP Holdings I, LLC"
commbank,NA,brand,COMMONWEALTH BANK OF AUSTRALIA
community,GA,unrestricted,Donuts
company,GA,unrestricted,Donuts
compare,GA,brand,"Registry Services, LLC"
computer,GA,unrestricted,Donuts
comsec,NA,restricted,"VeriSign, Inc."
condos,GA,unrestricted,Donuts
construction,GA,unrestricted,Donuts
consulting,GA,unrestricted,Donuts
contact,GA,unrestricted,Donuts
contractors,GA,unrestricted,Donuts
cooking,GA,unrestricted,"Registry Services, LLC"
cool,GA,unrestricted,Donuts
corsica,GA,semi-restricted,Collectivité de Corse
country,GA,unrestricted,Internet Naming Co.
coupon,NA,unrestricted,Amazon
coupons,GA,unrestricted,Donuts
courses,GA,unrestricted,"Registry Services, LLC"
cpa,GA,restricted,American Institute of Certified Public Accountants
credit,GA,unrestricted,Donuts
creditcard,GA,unrestricted,Donuts
creditunion,GA,restricted,DotCooperation LLC
cricket,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
crown,NA,brand,Crown Equipment Corporation
crs,NA,brand,Federated Co-operatives Limited
cruise,NA,brand,Viking River Cruises (Bermuda) Ltd.
cruises,GA,unrestricted,Donuts
cuisinella,NA,brand,SCHMIDT GROUPE S.A.S.
cymru,GA,unrestricted,Nominet UK
cyou,GA,unrestricted,Shortdot SA
dabur,NA,brand,Dabur India Limited
dad,GA,unrestricted,Google
dance,GA,unrestricted,Donuts
data,NA,brand,Dish DBS Corporation
date,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
dating,GA,unrestricted,Donuts
datsun,NA,brand,"NISSAN MOTOR CO., LTD."
day,GA,unrestricted,Google
dclk,NA,brand,Google
dds,NA,restricted,"Registry Services, LLC"
deal,NA,unrestricted,Amazon
dealer,GA,brand,Intercap Registry Inc.
deals,GA,unrestricted,Donuts
degree,GA,semi-restricted,Donuts
delivery,GA,unrestricted,Donuts
dell,NA,brand,Dell Inc.
deloitte,NA,brand,Deloitte Touche Tohmatsu
delta,NA,brand,"Delta Air Lines, Inc."
democrat,GA,unrestricted,Donuts
dental,GA,unrestricted,Donuts
dentist,GA,semi-restricted,Donuts
desi,GA,unrestricted,Emergency Back-End Registry Operator Program - ICANN
design,GA,unrestricted,"Registry Services, LLC"
dev,GA,brand,Google
dhl,NA,brand,Deutsche Post AG
diamonds,GA,unrestricted,Donuts
diet,GA,semi-restricted,XYZ.COM LLC
digital,GA,unrestricted,Donuts
direct,GA,unrestricted,Donuts
directory,GA,unrestricted,Donuts
discount,GA,unrestricted,Donuts
discover,NA,brand,Discover Financial Services
dish,NA,brand,Dish DBS Corporation
diy,SR,brand,"Lifestyle Domain Holdings, Inc."
dnp,NA,brand,"Dai Nippon Printing Co., Ltd."
docs,NA,unrestricted,Google
doctor,GA,unrestricted,Donuts
dog,GA,unrestricted,Donuts
domains,GA,unrestricted,Donuts
dot,NA,brand,Dish DBS Corporation
download,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
drive,NA,brand,Google
dtv,NA,brand,Dish DBS Corporation
dubai,NA,semi-restricted,Dubai Smart Government Department
dunlop,NA,brand,The Goodyear Tire & Rubber Company
dupont,NA,brand,E. I. du Pont de Nemours and Company
durban,GA,unrestricted,ZA Central Registry NPC trading as ZA Central Registry
dvag,NA,brand,Deutsche Vermögensberatung Aktiengesellschaft DVAG (Deutsche Vermögensberatung AG)
dvr,NA,brand,Hughes Satellite Systems Corporation
earth,GA,unrestricted,"Interlink Co., Ltd."
eat,NA,unrestricted,Google
eco,GA,restricted,Big Room Inc.
edeka,NA,brand,EDEKA Verband kaufmännischer Genossenschaften e.V.
education,GA,unrestricted,Donuts
email,GA,unrestricted,Donuts
emerck,NA,brand,Merck KGaA
energy,GA,unrestricted,Donuts
engineer,GA,semi-restricted,Donuts
engineering,GA,unrestricted,Donuts
enterprises,GA,unrestricted,Donuts
epson,NA,brand,Seiko Epson Corporation
equipment,GA,unrestricted,Donuts
ericsson,NA,brand,Telefonaktiebolaget L M Ericsson
erni,NA,brand,ERNI Group Holding AG
esq,GA,restricted,Google
estate,GA,unrestricted,Donuts
eurovision,NA,brand,European Broadcasting Union (EBU)
eus,GA,semi-restricted,Puntueus Fundazioa
events,GA,unrestricted,Donuts
exchange,GA,unrestricted,Donuts
expert,GA,unrestricted,Donuts
exposed,GA,unrestricted,Donuts
express,GA,unrestricted,Donuts
extraspace,NA,brand,Extra Space Storage LLC
fage,NA,brand,Fage International S.A.
fail,GA,unrestricted,Donuts
fairwinds,NA,brand,"FairWinds Partners, LLC"
faith,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
family,GA,unrestricted,Donuts
fan,GA,unrestricted,Donuts
fans,GA,unrestricted,ZDNS International Limited
farm,GA,unrestricted,Donuts
farmers,NA,brand,Farmers Insurance Exchange
fashion,GA,unrestricted,"Registry Services, LLC"
fast,NA,unrestricted,Amazon
fedex,NA,brand,Federal Express Corporation
feedback,GA,semi-restricted,"Top Level Spectrum, Inc."
ferrari,NA,brand,Fiat Chrysler Automobiles N.V.
ferrero,NA,brand,Ferrero Trading Lux S.A.
fidelity,NA,brand,Fidelity Brokerage Services LLC
fido,NA,brand,Rogers Communications Canada Inc.
film,GA,restricted,Motion Picture Domain Registry Pty Ltd
final,NA,unrestricted,Núcleo de Informação e Coordenação do Ponto BR
finance,GA,unrestricted,Donuts
financial,GA,unrestricted,Donuts
fire,NA,brand,Amazon
firestone,NA,brand,"Bridgestone Licensing Services, Inc."
firmdale,NA,brand,Firmdale Holdings Limited
fish,GA,unrestricted,Donuts
fishing,GA,unrestricted,"Registry Services, LLC"
fit,GA,unrestricted,"Registry Services, LLC"
fitness,GA,unrestricted,Donuts
flickr,NA,brand,"Flickr, Inc."
flights,GA,unrestricted,Donuts
flir,NA,brand,"FLIR Systems, Inc."
florist,GA,unrestricted,Donuts
flowers,GA,unrestricted,XYZ.COM LLC
fly,NA,restricted,Google
foo,GA,unrestricted,Google
food,SR,brand,"Lifestyle Domain Holdings, Inc."
football,GA,unrestricted,Donuts
ford,NA,brand,Ford Motor Company
forex,GA,semi-restricted,Donuts
forsale,GA,unrestricted,Donuts
forum,GA,unrestricted,"Fegistry, LLC"
foundation,GA,unrestricted,Public Interest Registry (PIR)
fox,NA,brand,"FOX Registry, LLC"
free,NA,unrestricted,Amazon
fresenius,NA,brand,Fresenius Immobilien-Verwaltungs-GmbH
frl,GA,unrestricted,FRLregistry B.V.
frogans,NA,unrestricted,OP3FT
frontier,NA,brand,Frontier Communications Corporation
ftr,NA,brand,Frontier Communications Corporation
fujitsu,NA,brand,Fujitsu Ltd.
fun,GA,unrestricted,Radix FZC
fund,GA,unrestricted,Donuts
furniture,GA,unrestricted,Donuts
futbol,GA,unrestricted,Donuts
fyi,GA,unrestricted,Donuts
gal,GA,semi-restricted,Asociación puntoGAL
gallery,GA,unrestricted,Donuts
gallo,NA,brand,"Gallo Vineyards, Inc."
gallup,NA,brand,"Gallup, Inc."
game,GA,unrestricted,XYZ.COM LLC
games,GA,unrestricted,Donuts
gap,NA,brand,"The Gap, Inc."
garden,GA,unrestricted,"Registry Services, LLC"
gay,GA,unrestricted,"Top Level Design, LLC"
gbiz,NA,brand,Google
gdn,GA,unrestricted,"Joint Stock Company ""Navigation-information systems"""
gea,NA,brand,GEA Group Aktiengesellschaft
gent,GA,unrestricted,Combell nv
genting,NA,brand,Resorts World Inc Pte. Ltd.
george,NA,brand,"Wal-Mart Stores, Inc."
ggee,NA,brand,"GMO Registry, Inc."
gift,GA,unrestricted,"DotGift, LLC"
gifts,GA,unrestricted,Donuts
gives,GA,semi-restricted,Public Interest Registry (PIR)
giving,GA,brand,Public Interest Registry (PIR)
glass,GA,unrestricted,Donuts
gle,NA,brand,Google
global,GA,unrestricted,Dot Global Domain Registry Limited
globo,NA,brand,Globo Comunicação e Participações S.A
gmail,NA,brand,Google
gmbh,GA,semi-restricted,Donuts
gmo,NA,brand,"GMO Registry, Inc."
gmx,NA,brand,11 Mail Media GmbH
godaddy,NA,brand,"Go Daddy East, LLC"
gold,GA,unrestricted,Donuts
goldpoint,NA,brand,"YODOBASHI CAMERA CO.,LTD."
golf,GA,unrestricted,Donuts
goo,NA,brand,NTT Resonant Inc.
goodyear,NA,brand,The Goodyear Tire & Rubber Company
goog,NA,brand,Google
google,NA,brand,Google
gop,GA,unrestricted,"Republican State Leadership Committee, Inc."
got,NA,unrestricted,Amazon
grainger,NA,brand,"Grainger Registry Services, LLC"
graphics,GA,unrestricted,Donuts
gratis,GA,unrestricted,Donuts
green,GA,unrestricted,Donuts
gripe,GA,unrestricted,Donuts
grocery,NA,brand,"Wal-Mart Stores, Inc."
group,GA,unrestricted,Donuts
guardian,NA,brand,The Guardian Life Insurance Company of America
gucci,NA,brand,Guccio Gucci S.p.a.
guge,NA,brand,Google
guide,GA,unrestricted,Donuts
guitars,GA,unrestricted,XYZ.COM LLC
guru,GA,unrestricted,Donuts
hair,GA,brand,XYZ.COM LLC
hamburg,GA,semi-restricted,Hamburg Top-Level-Domain GmbH
hangout,NA,brand,Google
haus,GA,unrestricted,Donuts
hbo,NA,brand,"HBO Registry Services, Inc."
hdfc,NA,brand,Housing Development Finance Corp. Ltd.
hdfcbank,NA,brand,HDFC Bank Limited
health,GA,restricted,"Registry Services, LLC"
healthcare,GA,unrestricted,Donuts
help,GA,unrestricted,UNR Corp.
helsinki,NA,brand,City of Helsinki
here,NA,unrestricted,Google
hermes,NA,brand,HERMES INTERNATIONAL
hiphop,GA,semi-restricted,"Dot Hip Hop, LLC"
hisamitsu,NA,brand,"Hisamitsu Pharmaceutical Co.,Inc."
hitachi,NA,brand,"Hitachi, Ltd."
hiv,GA,unrestricted,Internet Naming Co.
hkt,NA,brand,PCCW-HKT DataCom Services Limited
hockey,GA,unrestricted,Donuts
holdings,GA,unrestricted,Donuts
holiday,GA,unrestricted,Donuts
homedepot,NA,brand,"Home Depot Product Authority, LLC"
homegoods,NA,brand,"The TJX Companies, Inc."
homes,GA,restricted,XYZ.COM LLC
homesense,NA,brand,"The TJX Companies, Inc."
honda,NA,brand,"Honda Motor Co., Ltd."
horse,GA,unrestricted,"Registry Services, LLC"
hospital,GA,unrestricted,Donuts
host,GA,unrestricted,Radix FZC
hosting,GA,unrestricted,XYZ.COM LLC
hot,NA,brand,Amazon
hotels,NA,brand,Booking.com B.V.
hotmail,NA,brand,Microsoft Corporation
house,GA,unrestricted,Donuts
how,GA,unrestricted,Google
hsbc,NA,brand,HSBC Holdings PLC
hughes,NA,brand,Hughes Satellite Systems Corporation
hyatt,NA,brand,"Hyatt GTLD, L.L.C."
hyundai,NA,brand,Hyundai Motor Company
ibm,NA,brand,International Business Machines Corporation
icbc,NA,brand,Industrial and Commercial Bank of China Limited
ice,NA,brand,"IntercontinentalExchange, Inc."
icu,GA,unrestricted,Shortdot SA
ieee,GA,brand,IEEE Global LLC
ifm,NA,brand,IFM Electronic GmbH
ikano,NA,brand,Ikano S.A.
imamat,NA,brand,Fondation Aga Khan
imdb,NA,brand,Amazon
immo,GA,unrestricted,Donuts
immobilien,GA,unrestricted,Donuts
inc,GA,unrestricted,Intercap Registry Inc.
industries,GA,unrestricted,Donuts
infiniti,NA,brand,"NISSAN MOTOR CO., LTD."
ing,GA,unrestricted,Google
ink,GA,unrestricted,"Top Level Design, LLC"
institute,GA,unrestricted,Donuts
insurance,GA,restricted,fTLD Registry Services LLC
insure,GA,unrestricted,Donuts
international,GA,unrestricted,Donuts
intuit,NA,brand,"Intuit Administrative Services, Inc."
investments,GA,unrestricted,Donuts
ipiranga,NA,brand,Ipiranga Produtos de Petroleo S.A.
irish,GA,unrestricted,Donuts
ismaili,NA,brand,Fondation Aga Khan
ist,GA,unrestricted,Istanbul Dijital Medya Tic. A.S.
istanbul,GA,unrestricted,Istanbul Dijital Medya Tic. A.S.
itau,NA,brand,Itau Unibanco Holding S.A.
itv,NA,brand,ITV Services Ltd.
jaguar,NA,brand,Jaguar Land Rover Ltd
java,NA,brand,Oracle Corporation
jcb,NA,brand,"JCB Co., Ltd."
jeep,NA,brand,FCA US LLC.
jetzt,GA,unrestricted,Donuts
jewelry,GA,unrestricted,Donuts
jio,NA,brand,"Affinity Names, Inc."
jll,NA,brand,Jones Lang LaSalle Incorporated
jmp,NA,brand,Matrix IP LLC
jnj,NA,brand,"Johnson & Johnson Services, Inc."
joburg,GA,unrestricted,ZA Central Registry NPC trading as ZA Central Registry
jot,NA,brand,Amazon
joy,NA,unrestricted,Amazon
jpmorgan,NA,brand,JPMorgan Chase & Co.
jprs,NA,brand,"Japan Registry Services Co., Ltd."
juegos,GA,semi-restricted,UNR Corp.
juniper,NA,brand,"JUNIPER NETWORKS, INC."
kaufen,GA,unrestricted,Donuts
kddi,NA,brand,KDDI Corp.
kerryhotels,NA,brand,Kerry Trading Co. Limited
kerrylogistics,NA,brand,Kerry Trading Co. Limited
kerryproperties,NA,brand,Kerry Trading Co. Limited
kfh,NA,brand,Kuwait Finance House
kia,NA,brand,KIA Motors Corp.
kids,GA,unrestricted,DotKids Foundation Limited
kim,GA,unrestricted,Donuts
kindle,NA,brand,Amazon
kitchen,GA,unrestricted,Donuts
kiwi,GA,unrestricted,DOT KIWI Ltd.
koeln,GA,unrestricted,dotKoeln GmbH
komatsu,NA,brand,Komatsu Ltd.
kosher,NA,brand,Kosher Marketing Assets LLC
kpmg,GA,brand,KPMG International
kpn,NA,brand,Koninklijke KPN N.V.
krd,GA,semi-restricted,KRG Department of Information Technology
kred,NA,brand,KredTLD Pty Ltd (PeopleBrowsr Inc.)
kuokgroup,NA,brand,Kerry Trading Co. Limited
kyoto,GA,semi-restricted,Academic Institution: Kyoto Jyoho Gakuen
lacaixa,NA,brand,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA
lamborghini,NA,brand,Automobili Lamborghini S.p.A.
lamer,NA,brand,The Estée Lauder Companies Inc.
lancaster,NA,brand,LANCASTER
land,GA,unrestricted,Donuts
landrover,NA,brand,Jaguar Land Rover Ltd
lanxess,NA,brand,LANXESS Corporation
lasalle,NA,brand,Jones Lang LaSalle Incorporated
lat,GA,unrestricted,XYZ.COM LLC
latino,NA,semi-restricted,Dish DBS Corporation
latrobe,NA,brand,La Trobe University
law,GA,restricted,"Registry Services, LLC"
lawyer,GA,semi-restricted,Donuts
lds,NA,brand,"IRI Domain Management, LLC"
lease,GA,unrestricted,Donuts
leclerc,NA,brand,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc
lefrak,NA,brand,"LeFrak Organization, Inc."
legal,GA,unrestricted,Donuts
lego,NA,brand,LEGO Juris A/S
lexus,NA,brand,TOYOTA MOTOR CORPORATION
lgbt,GA,unrestricted,Donuts
lidl,NA,brand,Schwarz Domains und Services GmbH & Co. KG
life,GA,unrestricted,Donuts
lifeinsurance,NA,brand,American Council of Life Insurers
lifestyle,SR,brand,"Lifestyle Domain Holdings, Inc."
lighting,GA,unrestricted,Donuts
like,NA,unrestricted,Amazon
lilly,NA,brand,Eli Lilly and Company
limited,GA,unrestricted,Donuts
limo,GA,unrestricted,Donuts
lincoln,NA,brand,Ford Motor Company
link,GA,unrestricted,Nova Registry Ltd.
lipsy,NA,brand,Lipsy Ltd
live,GA,unrestricted,Donuts
living,SR,brand,"Lifestyle Domain Holdings, Inc."
llc,NA,unrestricted,Donuts
llp,NA,unrestricted,Intercap Registry Inc.
loan,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
loans,GA,unrestricted,Donuts
locker,NA,brand,Dish DBS Corporation
locus,NA,brand,Locus Analytics LLC
lol,GA,unrestricted,XYZ.COM LLC
london,GA,unrestricted,Dot London Domains Limited (Minds + Machines Group Limited)
lotte,NA,brand,"Lotte Holdings Co., Ltd."
lotto,GA,restricted,Donuts
love,GA,unrestricted,Merchant Law Group LLP
lpl,NA,brand,"LPL Holdings, Inc."
lplfinancial,NA,brand,"LPL Holdings, Inc."
ltd,GA,unrestricted,Donuts
ltda,GA,restricted,InterNetX Corp.
lundbeck,NA,brand,H. Lundbeck A/S
luxe,GA,unrestricted,"Registry Services, LLC"
luxury,GA,unrestricted,Luxury Partners LLC
madrid,GA,semi-restricted,Comunidad de Madrid
maif,NA,brand,Mutuelle Assurance Instituteur France (MAIF)
maison,GA,unrestricted,Donuts
makeup,GA,semi-restricted,XYZ.COM LLC
man,NA,brand,MAN SE
management,GA,unrestricted,Donuts
mango,NA,brand,PUNTO FA S.L.
map,NA,unrestricted,Google
market,GA,semi-restricted,Donuts
marketing,GA,unrestricted,Donuts
markets,GA,unrestricted,Donuts
