tld,status,type,owner
marriott,NA,brand,Marriott Worldwide Corporation
marshalls,NA,brand,"The TJX Companies, Inc."
mattel,NA,brand,"Mattel Sites, Inc."
mba,GA,unrestricted,Donuts
mckinsey,NA,brand,"McKinsey Holdings, Inc."
med,NA,brand,Medistry LLC
media,GA,unrestricted,Donuts
meet,NA,unrestricted,Google
melbourne,GA,restricted,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation"
meme,GA,unrestricted,Google
memorial,GA,unrestricted,Donuts
men,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
menu,GA,unrestricted,"Wedding TLD2, LLC"
merckmsd,NA,brand,"MSD Registry Holdings, Inc."
miami,GA,unrestricted,"Registry Services, LLC"
microsoft,NA,brand,Microsoft Corporation
mini,NA,brand,Bayerische Motoren Werke Aktiengesellschaft
mint,NA,brand,"Intuit Administrative Services, Inc."
mit,NA,brand,Massachusetts Institute of Technology
mitsubishi,NA,brand,Mitsubishi Corporation
mlb,NA,brand,"MLB Advanced Media DH, LLC"
mls,NA,restricted,The Canadian Real Estate Association
mma,NA,brand,MMA IARD
mobile,NA,brand,Dish DBS Corporation
moda,GA,unrestricted,Donuts
moe,GA,unrestricted,"Interlink Co., Ltd."
moi,GA,unrestricted,Amazon
mom,GA,unrestricted,XYZ.COM LLC
monash,NA,brand,Monash University
money,GA,unrestricted,Donuts
monster,GA,brand,XYZ.COM LLC
mormon,NA,brand,"IRI Domain Management, LLC"
mortgage,GA,semi-restricted,Donuts
moscow,GA,unrestricted,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
moto,NA,brand,"Motorola Trademark Holdings, LLC"
motorcycles,GA,restricted,XYZ.COM LLC
mov,GA,unrestricted,Google
movie,GA,unrestricted,Donuts
msd,NA,brand,"MSD Registry Holdings, Inc."
mtn,NA,brand,MTN Dubai Limited
mtr,NA,brand,MTR Corporation Limited
music,NA,restricted,DotMusic Limited
nab,NA,brand,National Australia Bank Limited
nagoya,GA,unrestricted,"GMO Registry, Inc."
natura,NA,brand,NATURA COSMÉTICOS S.A.
navy,GA,semi-restricted,Donuts
nba,NA,brand,"NBA REGISTRY, LLC"
nec,NA,brand,NEC Corporation
netbank,NA,brand,COMMONWEALTH BANK OF AUSTRALIA
netflix,NA,brand,"Netflix, Inc."
network,GA,unrestricted,Donuts
neustar,NA,brand,"NeuStar, Inc."
new,GA,unrestricted,Google
news,GA,unrestricted,Donuts
next,NA,brand,Next plc
nextdirect,NA,brand,Next plc
nexus,GA,brand,Google
nfl,NA,brand,NFL Reg Ops LLC
ngo,GA,restricted,Public Interest Registry (PIR)
nhk,NA,brand,Japan Broadcasting Corporation (NHK)
nico,NA,brand,"DWANGO Co., Ltd."
nike,NA,brand,NIKE Inc.
nikon,NA,brand,NIKON CORPORATION
ninja,GA,unrestricted,Donuts
nissan,NA,brand,"NISSAN MOTOR CO., LTD."
nissay,NA,brand,Nippon Life Insurance Company
nokia,NA,brand,Nokia Corporation
norton,NA,brand,Symantec Corporation
now,NA,unrestricted,Amazon
nowruz,GA,unrestricted,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
nowtv,NA,brand,Starbucks (HK) Limited
nra,NA,brand,"NRA Holdings Company, INC."
nrw,GA,semi-restricted,Minds + Machines GmbH (Minds + Machines Group Limited)
ntt,NA,brand,NIPPON Telegraph and Telephone Corp.
nyc,GA,semi-restricted,The City of New York by and through the New York City Department of Information Technology & Telecommunications
obi,NA,brand,OBI Group Holding SE & Co. KGaA
observer,GA,unrestricted,Donuts
office,NA,brand,Microsoft Corporation
okinawa,GA,unrestricted,"BRregistry, Inc."
olayan,NA,brand,Crescent Holding GmbH
olayangroup,NA,brand,Crescent Holding GmbH
ollo,NA,brand,Dish DBS Corporation
omega,NA,brand,The Swatch Group Ltd
one,GA,unrestricted,One Registry
ong,GA,restricted,Public Interest Registry (PIR)
onl,GA,unrestricted,iRegistry GmbH
online,GA,unrestricted,Radix FZC
ooo,GA,unrestricted,Infibeam Avenues Limited
open,NA,brand,"American Express Travel Related Services Company, Inc."
oracle,NA,brand,Oracle Corporation
orange,NA,brand,Orange Brand Services Limited
organic,GA,restricted,Donuts
origins,NA,brand,The Estée Lauder Companies Inc.
osaka,GA,semi-restricted,"Osaka Registry Co., Ltd."
otsuka,NA,brand,"Otsuka Holdings Co., Ltd."
ott,NA,brand,Dish DBS Corporation
ovh,GA,unrestricted,OVH SAS
page,GA,brand,Google
panasonic,NA,brand,Panasonic Corporation
paris,GA,semi-restricted,City of Paris
pars,NA,unrestricted,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
partners,GA,unrestricted,Donuts
parts,GA,unrestricted,Donuts
party,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
pay,NA,unrestricted,Amazon
pccw,NA,brand,PCCW Enterprises Limited
pet,GA,unrestricted,Donuts
pfizer,NA,brand,Pfizer Inc.
pharmacy,GA,restricted,National Association of Boards of Pharmacy
phd,GA,restricted,Google
philips,NA,brand,Koninklijke Philips N.V.
phone,NA,brand,Dish DBS Corporation
photo,GA,unrestricted,"Registry Services, LLC"
photography,GA,unrestricted,Donuts
photos,GA,unrestricted,Donuts
physio,GA,semi-restricted,PhysBiz Pty Ltd
pics,GA,unrestricted,XYZ.COM LLC
pictet,NA,brand,Pictet Europe S.A.
pictures,GA,unrestricted,Donuts
pid,NA,unrestricted,"Top Level Spectrum, Inc."
pin,NA,brand,Amazon
ping,NA,brand,"Ping Registry Provider, Inc."
pink,GA,unrestricted,Donuts
pioneer,GA,brand,Pioneer Corporation
pizza,GA,unrestricted,Donuts
place,GA,unrestricted,Donuts
play,NA,brand,Google
playstation,NA,brand,Sony Computer Entertainment Inc.
plumbing,GA,unrestricted,Donuts
plus,GA,unrestricted,Donuts
pnc,NA,brand,"PNC Domain Co., LLC"
pohl,NA,brand,Deutsche Vermögensberatung Aktiengesellschaft DVAG (Deutsche Vermögensberatung AG)
poker,GA,unrestricted,Donuts
politie,NA,brand,Politie Nederland
porn,GA,unrestricted,ICM Registry LLC (Minds + Machines Group Limited)
pramerica,NA,brand,"Prudential Financial, Inc."
praxi,NA,brand,Praxi S.p.A.
press,GA,unrestricted,Radix FZC
prime,NA,brand,Amazon
prod,NA,brand,Google
productions,GA,unrestricted,Donuts
prof,GA,unrestricted,Google
progressive,NA,brand,Progressive Casualty Insurance Company
promo,GA,unrestricted,Donuts
properties,GA,unrestricted,Donuts
property,GA,unrestricted,Internet Naming Co.
protection,GA,semi-restricted,XYZ.COM LLC
pru,NA,brand,"Prudential Financial, Inc."
prudential,NA,brand,"Prudential Financial, Inc."
pub,GA,unrestricted,Donuts
pwc,NA,brand,PricewaterhouseCoopers LLP
qpon,GA,unrestricted,"dotCOOL, Inc."
quebec,GA,semi-restricted,PointQuébec Inc
quest,GA,brand,XYZ.COM LLC
racing,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
radio,GA,unrestricted,European Broadcasting Union (EBU)
read,NA,unrestricted,Amazon
realestate,GA,brand,dotRealEstate LLC
realtor,GA,restricted,Real Estate Domains LLC
realty,GA,unrestricted,Donuts
recipes,GA,unrestricted,Donuts
red,GA,unrestricted,Donuts
redstone,NA,brand,"Redstone Haute Couture Co., Ltd."
redumbrella,NA,brand,"Travelers TLD, LLC"
rehab,GA,semi-restricted,Donuts
reise,GA,semi-restricted,Donuts
reisen,GA,unrestricted,Donuts
reit,GA,restricted,"National Association of Real Estate Investment Trusts, Inc."
reliance,NA,brand,Reliance Industries Ltd.
ren,GA,unrestricted,ZDNS International Limited
rent,GA,unrestricted,XYZ.COM LLC
rentals,GA,unrestricted,Donuts
repair,GA,unrestricted,Donuts
report,GA,unrestricted,Donuts
republican,GA,unrestricted,Donuts
rest,GA,unrestricted,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
restaurant,GA,unrestricted,Donuts
review,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
reviews,GA,unrestricted,Donuts
rexroth,NA,brand,Robert Bosch GMBH
rich,GA,unrestricted,iRegistry GmbH
richardli,NA,brand,Pacific Century Asset Management (HK) Ltd.
ricoh,NA,brand,"Ricoh Company, Ltd."
ril,NA,brand,Reliance Industries Ltd.
rio,GA,semi-restricted,Empresa Municipal de Informática SA - IPLANRIO
rip,GA,unrestricted,Donuts
rocks,GA,unrestricted,Donuts
rodeo,GA,unrestricted,"Registry Services, LLC"
rogers,NA,brand,Rogers Communications Canada Inc.
room,NA,unrestricted,Amazon
rsvp,GA,unrestricted,Google
rugby,GA,unrestricted,World Rugby Strategic Developments Limited
ruhr,GA,semi-restricted,dotSaarland GmbH (CentralNic Group PLC)
run,GA,unrestricted,Donuts
rwe,NA,brand,RWE AG
ryukyu,GA,unrestricted,"BRregistry, Inc."
saarland,GA,unrestricted,dotSaarland GmbH (CentralNic Group PLC)
safe,NA,unrestricted,Amazon
safety,NA,restricted,"Safety Registry Services, LLC."
sakura,NA,brand,SAKURA Internet Inc.
sale,GA,unrestricted,Donuts
salon,GA,unrestricted,Donuts
samsclub,NA,brand,"Wal-Mart Stores, Inc."
samsung,NA,brand,"SAMSUNG SDS CO., LTD"
sandvik,NA,brand,Sandvik AB
sandvikcoromant,NA,brand,Sandvik AB
sanofi,NA,brand,Sanofi
sap,NA,brand,SAP AG
sarl,GA,unrestricted,Donuts
sas,NA,brand,Research IP LLC
save,NA,unrestricted,Amazon
saxo,NA,brand,Saxo Bank A/S
sbi,NA,brand,STATE BANK OF INDIA
sbs,GA,brand,Shortdot SA
scb,NA,brand,"The Siam Commercial Bank Public Company Limited (""SCB"")"
schaeffler,NA,brand,Schaeffler Technologies AG & Co. KG
schmidt,NA,brand,SCHMIDT GROUPE S.A.S.
scholarships,NA,brand,"Scholarships.com, LLC"
school,GA,unrestricted,Donuts
schule,GA,unrestricted,Donuts
schwarz,NA,brand,Schwarz Domains und Services GmbH & Co. KG
science,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
scot,GA,semi-restricted,Dot Scot Registry Limited
search,NA,brand,Google
seat,NA,brand,"SEAT, S.A. (Sociedad Unipersonal)"
secure,NA,unrestricted,Amazon
security,GA,semi-restricted,XYZ.COM LLC
seek,NA,brand,Seek Limited
select,GA,brand,"Registry Services, LLC"
sener,NA,brand,"Sener Ingeniería y Sistemas, S.A."
services,GA,unrestricted,Donuts
seven,NA,brand,Seven West Media Ltd
sew,NA,brand,SEW-EURODRIVE GmbH & Co KG
sex,GA,unrestricted,ICM Registry LLC (Minds + Machines Group Limited)
sexy,GA,unrestricted,Internet Naming Co.
sfr,NA,brand,Societe Francaise du Radiotelephone - SFR
shangrila,NA,brand,Shangri‐La International Hotel Management Limited
sharp,NA,brand,Sharp Corporation
shaw,NA,brand,Shaw Cablesystems G.P.
shell,NA,brand,Shell Information Technology International Inc
shia,NA,unrestricted,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
shiksha,GA,unrestricted,Donuts
shoes,GA,unrestricted,Donuts
shop,GA,unrestricted,"GMO Registry, Inc."
shopping,GA,unrestricted,Donuts
shouji,NA,brand,QIHOO 360 Technology Co. Ltd.
show,GA,unrestricted,Donuts
showtime,NA,brand,CBS Domains Inc.
silk,NA,unrestricted,Amazon
sina,NA,brand,Sina Corporation
singles,GA,unrestricted,Donuts
site,GA,unrestricted,Radix FZC
ski,GA,unrestricted,Donuts
skin,GA,brand,XYZ.COM LLC
sky,NA,brand,Sky International AG
skype,NA,brand,Microsoft Corporation
sling,NA,brand,Hughes Satellite Systems Corporation
smart,NA,brand,"Smart Communications, Inc."
smile,NA,unrestricted,Amazon
sncf,NA,brand,SNCF (Société Nationale des Chemins de fer Francais)
soccer,GA,unrestricted,Donuts
social,GA,unrestricted,Donuts
softbank,NA,brand,SoftBank Group Corp.
software,GA,semi-restricted,Donuts
sohu,NA,brand,Sohu.com Limited
solar,GA,unrestricted,Donuts
solutions,GA,unrestricted,Donuts
song,NA,unrestricted,Amazon
sony,NA,brand,Sony Corporation
soy,GA,unrestricted,Google
spa,NA,unknown,Asia Spa and Wellness Promotion Council Limited
space,GA,unrestricted,Radix FZC
sport,GA,semi-restricted,Global Association of International Sports Federations (GAISF)
spot,NA,brand,Amazon
srl,GA,semi-restricted,InterNetX Corp.
stada,NA,brand,STADA Arzneimittel AG
staples,NA,brand,"Staples, Inc."
star,NA,brand,Star India Private Limited
statebank,NA,brand,STATE BANK OF INDIA
statefarm,NA,brand,State Farm Mutual Automobile Insurance Company
stc,NA,brand,Saudi Telecom Company
stcgroup,NA,brand,Saudi Telecom Company
stockholm,GA,semi-restricted,Stockholms kommun
storage,GA,unrestricted,XYZ.COM LLC
store,GA,unrestricted,Radix FZC
stream,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
studio,GA,unrestricted,Donuts
study,GA,unrestricted,"Registry Services, LLC"
style,GA,unrestricted,Donuts
sucks,GA,unrestricted,Vox Populi Registry Inc.
supplies,GA,unrestricted,Donuts
supply,GA,unrestricted,Donuts
support,GA,unrestricted,Donuts
surf,GA,unrestricted,"Registry Services, LLC"
surgery,GA,unrestricted,Donuts
suzuki,NA,brand,SUZUKI MOTOR CORPORATION
swatch,NA,brand,The Swatch Group Ltd
swiss,GA,semi-restricted,Swiss Confederation
sydney,GA,restricted,"State of New South Wales, Department of Premier and Cabinet"
systems,GA,unrestricted,Donuts
tab,NA,brand,Tabcorp Holdings Limited
taipei,GA,unrestricted,Taipei City Government
talk,NA,unrestricted,Amazon
taobao,NA,brand,Alibaba Group Holding Ltd. (Alibaba Group Holding Ltd.)
target,NA,brand,"Target Domain Holdings, LLC"
tatamotors,NA,brand,Tata Motors Ltd
tatar,GA,unrestricted,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic"""
tattoo,GA,unrestricted,"Top Level Design, LLC"
tax,GA,unrestricted,Donuts
taxi,GA,unrestricted,Donuts
tci,NA,unrestricted,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
tdk,NA,brand,TDK Corporation
team,GA,unrestricted,Donuts
tech,GA,unrestricted,Radix FZC
technology,GA,unrestricted,Donuts
temasek,NA,brand,Temasek Holdings (Private) Limited
tennis,GA,unrestricted,Donuts
teva,NA,brand,Teva Pharmaceutical Industries Limited
thd,NA,brand,"Home Depot Product Authority, LLC"
theater,GA,unrestricted,Donuts
theatre,GA,unrestricted,XYZ.COM LLC
tiaa,NA,brand,Teachers Insurance and Annuity Association of America
tickets,GA,semi-restricted,XYZ.COM LLC
tienda,GA,unrestricted,Donuts
tips,GA,unrestricted,Donuts
tires,GA,unrestricted,Donuts
tirol,GA,semi-restricted,punkt Tirol GmbH
tjmaxx,NA,brand,"The TJX Companies, Inc."
tjx,NA,brand,"The TJX Companies, Inc."
tkmaxx,NA,brand,"The TJX Companies, Inc."
tmall,NA,brand,Alibaba Group Holding Ltd. (Alibaba Group Holding Ltd.)
today,GA,unrestricted,Donuts
tokyo,GA,unrestricted,"GMO Registry, Inc."
tools,GA,unrestricted,Donuts
top,GA,unrestricted,"Jiangsu Bangning Science & Technology Co.,Ltd."
toray,NA,brand,"Toray Industries, Inc."
toshiba,NA,brand,TOSHIBA Corporation
total,NA,brand,Total SA
tours,GA,unrestricted,Donuts
town,GA,unrestricted,Donuts
toyota,NA,brand,TOYOTA MOTOR CORPORATION
toys,GA,unrestricted,Donuts
trade,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
trading,GA,semi-restricted,Donuts
training,GA,unrestricted,Donuts
travelers,NA,brand,"Travelers TLD, LLC"
travelersinsurance,NA,brand,"Travelers TLD, LLC"
trust,GA,restricted,Internet Naming Co.
trv,NA,brand,"Travelers TLD, LLC"
tube,GA,unrestricted,Latin American Telecom LLC
tui,NA,brand,TUI AG
tunes,NA,unrestricted,Amazon
tushu,NA,unrestricted,Amazon
tvs,NA,brand,TV Sundram Iyengar & Sons Private Ltd.
ubank,NA,brand,National Australia Bank Limited
ubs,NA,brand,UBS AG
unicom,NA,brand,China United Network Communications Corp. Ltd.
university,GA,unrestricted,Donuts
uno,GA,unrestricted,Radix FZC
uol,NA,brand,UBN INTERNET LTDA.
ups,NA,brand,"UPS Market Driver, Inc."
vacations,GA,unrestricted,Donuts
vana,SR,brand,"Lifestyle Domain Holdings, Inc."
vanguard,NA,brand,"The Vanguard Group, Inc."
vegas,GA,unrestricted,"Dot Vegas, Inc."
ventures,GA,unrestricted,Donuts
verisign,NA,brand,"VeriSign, Inc."
versicherung,GA,restricted,TLD-BOX Registrydienstleistungen GmbH
vet,GA,semi-restricted,Donuts
viajes,GA,unrestricted,Donuts
video,GA,unrestricted,Donuts
vig,NA,brand,VIENNA INSURANCE GROUP AG
viking,NA,brand,Viking River Cruises (Bermuda) Ltd.
villas,GA,unrestricted,Donuts
vin,GA,unrestricted,Donuts
vip,GA,unrestricted,"Registry Services, LLC"
virgin,NA,brand,Virgin Enterprises Limited
visa,NA,brand,Visa Worldwide Pte. Limited
vision,GA,unrestricted,Donuts
viva,NA,brand,Saudi Telecom Company
vivo,NA,brand,Telefonica Brasil S.A.
vlaanderen,GA,unrestricted,DNS.be vzw
vodka,GA,unrestricted,"Registry Services, LLC"
volvo,NA,brand,Volvo Holding Sverige Aktiebolag
vote,GA,restricted,Donuts
voting,GA,unrestricted,Valuetainment Corp.
voto,GA,restricted,Donuts
voyage,GA,unrestricted,Donuts
wales,GA,unrestricted,Nominet UK
walmart,NA,brand,"Wal-Mart Stores, Inc."
walter,NA,brand,Sandvik AB
wang,GA,unrestricted,Zodiac Registry Limited (Zodiac Holdings Ltd.)
wanggou,NA,brand,Amazon
watch,GA,unrestricted,Donuts
watches,GA,brand,Donuts
weather,NA,brand,International Business Machines Corporation
weatherchannel,NA,brand,International Business Machines Corporation
webcam,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
weber,NA,brand,Saint-Gobain Weber SA
website,GA,unrestricted,Radix FZC
wed,GA,unrestricted,Emergency Back-End Registry Operator Program - ICANN
wedding,GA,unrestricted,"Registry Services, LLC"
weibo,NA,brand,Sina Corporation
weir,NA,brand,Weir Group IP Limited
whoswho,GA,unrestricted,Who's Who Registry
wien,GA,semi-restricted,punkt.wien GmbH
wiki,GA,unrestricted,"Top Level Design, LLC"
williamhill,NA,brand,William Hill Organization Limited
win,GA,unrestricted,Global Registry Services Limited (Domain Venture Partners)
windows,NA,brand,Microsoft Corporation
wine,GA,unrestricted,Donuts
winners,NA,brand,"The TJX Companies, Inc."
wme,NA,brand,"William Morris Endeavor Entertainment, LLC"
wolterskluwer,NA,brand,Wolters Kluwer N.V.
woodside,NA,brand,Woodside Petroleum Limited
work,GA,unrestricted,"Registry Services, LLC"
works,GA,unrestricted,Donuts
world,GA,unrestricted,Donuts
wow,NA,unrestricted,Amazon
wtc,NA,brand,"World Trade Centers Association, Inc."
wtf,GA,unrestricted,Donuts
xbox,NA,brand,Microsoft Corporation
xerox,NA,brand,Xerox DNHC LLC
xfinity,NA,brand,"Comcast IP Holdings I, LLC"
xihuan,NA,brand,QIHOO 360 Technology Co. Ltd.
xin,GA,semi-restricted,Elegant Leader Limited (Alibaba Group Holding Ltd.)
xn--11b4c3d,NA,unrestricted,VeriSign Sarl
xn--1ck2e1b,GA,unrestricted,Amazon
xn--1qqw23a,GA,unrestricted,"Guangzhou YU Wei Information Technology Co., Ltd."
xn--30rr7y,NA,unrestricted,Excellent First Limited
xn--3bst00m,GA,unrestricted,Eagle Horizon Limited (Zodiac Holdings Ltd.)
xn--3ds443g,GA,unrestricted,TLD REGISTRY LIMITED
xn--3pxu8k,NA,unrestricted,VeriSign Sarl
xn--42c2d9a,NA,unrestricted,VeriSign Sarl
xn--45q11c,GA,unrestricted,Zodiac Scorpio Limited (Zodiac Holdings Ltd.)
xn--4gbrim,GA,unrestricted,Helium TLDs Ltd
xn--55qw42g,NA,restricted,China Organizational Name Administration Center
xn--55qx5d,GA,semi-restricted,Computer Network Information Center of Chinese Academy of Sciences China Internet Network Information Center
xn--5su34j936bgsg,NA,brand,Shangri‐La International Hotel Management Limited
xn--5tzm5g,GA,unrestricted,Global Website TLD Asia Limited
xn--6frz82g,GA,unrestricted,Donuts
xn--6qq986b3xl,GA,unrestricted,Tycoon Treasure Limited (Zodiac Holdings Ltd.)
xn--80adxhks,GA,unrestricted,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
xn--80aqecdr1a,NA,brand,Pontificium Consilium de Comunicationibus Socialibus
xn--80asehdb,GA,unrestricted,CORE Association
xn--80aswg,GA,unrestricted,CORE Association
xn--8y0a063a,NA,brand,China United Network Communications Corp. Ltd.
xn--9dbq2a,GA,unrestricted,VeriSign Sarl
xn--9et52u,NA,unrestricted,RISE Victory Ltd.
xn--9krt00a,NA,brand,Sina Corporation
xn--b4w605ferd,NA,brand,Temasek Holdings (Private) Limited
xn--bck1b9a5dre4c,GA,unrestricted,Amazon
xn--c1avg,GA,unrestricted,Public Interest Registry (PIR)
xn--c2br7g,NA,unrestricted,VeriSign Sarl
xn--cck2b3b,GA,unrestricted,Amazon
xn--cckwcxetd,NA,brand,Amazon
xn--cg4bki,NA,brand,"SAMSUNG SDS CO., LTD"
xn--czr694b,GA,restricted,Internet DotTrademark Organisation Limited
xn--czrs0t,GA,unrestricted,Donuts
xn--czru2d,GA,unrestricted,Zodiac Aquarius Limited (Zodiac Holdings Ltd.)
xn--d1acj3b,GA,unrestricted,The Foundation for Network Initiatives “The Smart Internet”
xn--eckvdtc9d,NA,unrestricted,Amazon
xn--efvy88h,NA,unrestricted,"Guangzhou YU Wei Information and Technology Co.,Ltd"
xn--fct429k,GA,unrestricted,Amazon
xn--fhbei,NA,unrestricted,VeriSign Sarl
xn--fiq228c5hs,GA,unrestricted,TLD REGISTRY LIMITED
xn--fiq64b,NA,brand,CITIC Group Corporation
xn--fjq720a,GA,unrestricted,Donuts
xn--flw351e,NA,brand,Google
xn--fzys8d69uvgm,NA,brand,PCCW Enterprises Limited
xn--g2xx48c,GA,unrestricted,"Nawang Heli(Xiamen) Network Service Co., LTD."
xn--gckr3f0f,GA,unrestricted,Amazon
xn--gk3at1e,NA,unrestricted,Amazon
xn--hxt814e,GA,unrestricted,Zodiac Libra Limited (Zodiac Holdings Ltd.)
xn--i1b6b1a6a2e,GA,unrestricted,Public Interest Registry (PIR)
xn--imr513n,GA,restricted,Internet DotTrademark Organisation Limited
xn--io0a7i,GA,semi-restricted,Computer Network Information Center of Chinese Academy of Sciences China Internet Network Information Center
xn--j1aef,NA,unrestricted,VeriSign Sarl
xn--jlq480n2rg,NA,brand,Amazon
xn--jvr189m,GA,unrestricted,Amazon
xn--kcrx77d1x4a,NA,brand,Koninklijke Philips N.V.
xn--kput3i,GA,unrestricted,"Beijing RITT-Net Technology Development Co., Ltd"
xn--mgba3a3ejt,NA,brand,Aramco Services Company
xn--mgba7c0bbn0a,NA,brand,Crescent Holding GmbH
xn--mgbab2bd,GA,unrestricted,CORE Association
xn--mgbca7dzdo,GA,brand,Abu Dhabi Systems and Information Centre
xn--mgbi4ecexp,NA,brand,Pontificium Consilium de Comunicationibus Socialibus
xn--mgbt3dhd,NA,unrestricted,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
xn--mk1bu44c,GA,unrestricted,VeriSign Sarl
xn--mxtq1m,NA,restricted,"Net-Chinese Co., Ltd."
xn--ngbc5azd,GA,unrestricted,International Domain Registry Pty. Ltd.
xn--ngbe9e0a,NA,brand,Kuwait Finance House
xn--ngbrx,NA,restricted,League of Arab States
xn--nqv7f,GA,unrestricted,Public Interest Registry (PIR)
xn--nqv7fs00ema,NA,unrestricted,Public Interest Registry (PIR)
xn--nyqy26a,GA,semi-restricted,Stable Tone Limited
xn--otu796d,GA,restricted,Dot Trademark TLD Holding Company Limited
xn--p1acf,GA,unrestricted,Rusnames Limited
xn--pssy2u,NA,unrestricted,VeriSign Sarl
xn--q9jyb4c,GA,unrestricted,Google
xn--qcka1pmc,NA,brand,Google
xn--rhqv96g,GA,unrestricted,Stable Tone Limited
xn--rovu88b,GA,unrestricted,Amazon
xn--ses554g,GA,semi-restricted,"KNET Co., Ltd."
xn--t60b56a,GA,unrestricted,VeriSign Sarl
xn--tckwe,GA,unrestricted,VeriSign Sarl
xn--tiq49xqyj,NA,brand,Pontificium Consilium de Comunicationibus Socialibus
xn--unup4y,GA,unrestricted,Donuts
xn--vermgensberater-ctb,NA,brand,Deutsche Vermögensberatung Aktiengesellschaft DVAG (Deutsche Vermögensberatung AG)
xn--vermgensberatung-pwb,NA,brand,Deutsche Vermögensberatung Aktiengesellschaft DVAG (Deutsche Vermögensberatung AG)
xn--vhquv,GA,unrestricted,Donuts
xn--vuq861b,GA,unrestricted,"Beijing Tele-info Network Technology Co., Ltd."
xn--w4r85el8fhu5dnra,NA,brand,Kerry Trading Co. Limited
xn--w4rs40l,NA,brand,Kerry Trading Co. Limited
xn--xhq521b,GA,unrestricted,"Guangzhou YU Wei Information Technology Co., Ltd."
xn--zfr164b,NA,brand,China Organizational Name Administration Center
xyz,GA,unrestricted,XYZ.COM LLC
yachts,GA,restricted,XYZ.COM LLC
yahoo,NA,brand,OATH Inc.
yamaxun,NA,unrestricted,Amazon
yandex,NA,brand,Yandex Europe B.V.
yodobashi,NA,brand,"YODOBASHI CAMERA CO.,LTD."
yoga,GA,unrestricted,"Registry Services, LLC"
yokohama,GA,unrestricted,"GMO Registry, Inc."
you,NA,unrestricted,Amazon
youtube,NA,brand,Google
yun,NA,brand,QIHOO 360 Technology Co. Ltd.
zappos,NA,brand,Amazon
zara,NA,brand,"Industria de Diseño Textil, S.A."
zero,NA,brand,Amazon
zip,GA,unrestricted,Google
zone,GA,unrestricted,Donuts
zuerich,GA,semi-restricted,Kanton Zürich
